customer_id,customer_name,age,city,state,account_type,application_date,vkyc_start_time,vkyc_end_time,agent_id,agent_name,document_type,document_status,face_match_score,liveness_score,audio_clarity_score,network_quality,fraud_flag,fraud_reason,kyc_status,rejection_reason,turnaround_minutes,escalation_flag,customer_income_band
CUST100010,Hrishita Sood,55,Bengaluru,Karnataka,Savings,21-01-2026,21-01-2026 10:44,21-01-2026 10:59,AG1004,Aniruddh Batra,PAN,Expired,99.14,92.19,61.97,Good,No,,Rejected,Document invalid,15,No,10L+
CUST100011,Kismat Edwin,63,Delhi,Delhi,Salary,01-05-2026,01-05-2026 03:30,01-05-2026 04:00,AG1025,Ishaan Goyal,PAN,Mismatch,62.4,81.05,80.33,Poor,No,,Rejected,Document invalid,30,No,6-10L
CUST100012,Advik Bhalla,42,Pune,Maharashtra,Savings,21-03-2026,21-03-2026 20:01,21-03-2026 20:35,AG1002,Sara Behl,PAN,Valid,60.42,68.97,66.9,Good,Yes,Deepfake suspicion,Rejected,Deepfake suspicion,34,No,0-3L
CUST100013,Zara Dube,27,Ahmedabad,Gujarat,Salary,13-02-2026,13-02-2026 08:27,13-02-2026 09:24,AG1006,Jhanvi Chaudhary,Driving License,Valid,64.6,65.28,96.78,Average,No,,Rejected,Face mismatch,57,No,3-6L
CUST100014,Bhavin Dara,33,Kolkata,West Bengal,Salary,06-03-2026,06-03-2026 12:51,06-03-2026 13:09,AG1012,Tarini Ganguly,Aadhaar,Valid,93.7,62.16,82.67,Good,No,,Approved,,18,No,3-6L
CUST100015,Dharmajan Setty,36,Jaipur,Rajasthan,Savings,26-01-2026,26-01-2026 13:22,26-01-2026 13:28,AG1048,Vaibhav Raju,Aadhaar,Valid,75.73,94.89,53.77,Good,No,,Rejected,Low audio quality,6,No,0-3L
CUST100016,Darshit Sidhu,65,Kolkata,West Bengal,Salary,30-03-2026,30-03-2026 10:49,30-03-2026 11:52,AG1027,Rati Sanghvi,Driving License,Valid,72.97,62.34,68.95,Good,No,,Approved,,63,Yes,6-10L
CUST100017,Gokul Sahni,53,Ahmedabad,Gujarat,Savings,01-05-2026,01-05-2026 13:17,01-05-2026 14:26,AG1003,Kiara Kakar,Aadhaar,Valid,63.51,68.69,52.92,Good,Yes,Synthetic voice,Rejected,Synthetic voice,69,Yes,3-6L
CUST100018,Ira Butala,34,Delhi,Delhi,Salary,13-01-2026,13-01-2026 12:39,13-01-2026 13:37,AG1016,Samiha Karpe,PAN,Valid,93.61,76.11,97.08,Good,Yes,Deepfake suspicion,Rejected,Deepfake suspicion,58,No,6-10L
CUST100019,Eva Viswanathan,55,Pune,Maharashtra,Savings,13-02-2026,13-02-2026 11:24,13-02-2026 12:41,AG1004,Aniruddh Batra,Aadhaar,Valid,85.09,71.97,65.81,Good,No,,Approved,,77,Yes,0-3L
CUST100020,Lakshit Madan,56,Ahmedabad,Gujarat,Current,18-02-2026,18-02-2026 06:57,18-02-2026 11:53,AG1042,Keya Iyengar,PAN,Valid,94.46,95.08,68.48,Poor,No,,Pending,Network issue,296,Yes,0-3L
CUST100021,Riya Dugal,61,Mumbai,Maharashtra,Current,20-06-2026,21-06-2026 00:07,21-06-2026 00:55,AG1043,Madhup Biswas,Passport,Valid,60.17,64.27,77.66,Good,No,,Rejected,Face mismatch,48,No,3-6L
CUST100022,Oorja Sachar,49,Ahmedabad,Gujarat,Salary,30-03-2026,30-03-2026 22:58,31-03-2026 01:35,AG1047,Kimaya Balay,Passport,Valid,92.91,63.68,71.18,Poor,No,,Pending,Network issue,157,Yes,3-6L
CUST100023,Advika Yogi,23,Kolkata,West Bengal,Current,13-04-2026,13-04-2026 02:40,13-04-2026 03:03,AG1008,Zoya Virk,Aadhaar,Expired,97.34,87.57,57.45,Good,No,,Rejected,Document invalid,23,No,10L+
CUST100024,Fateh Dasgupta,30,Pune,Maharashtra,Savings,13-06-2026,13-06-2026 17:42,13-06-2026 18:58,AG1039,Hridaan Deo,PAN,Valid,93.56,95.87,60.5,Average,No,,Approved,,76,Yes,10L+
CUST100025,Chirag Gara,31,Delhi,Delhi,Salary,27-06-2026,27-06-2026 18:49,27-06-2026 20:19,AG1017,Uthkarsh Baral,Passport,Valid,94.49,60.99,86.83,Average,No,,Approved,,90,Yes,3-6L
CUST100026,Khushi Malhotra,63,Mumbai,Maharashtra,Savings,11-03-2026,11-03-2026 17:13,11-03-2026 17:47,AG1001,Nirvaan Choudhury,Passport,Valid,76.09,67.96,95.92,Good,No,,Approved,,34,No,3-6L
CUST100027,Khushi Choudhary,37,Kolkata,West Bengal,Savings,01-03-2026,01-03-2026 18:47,01-03-2026 19:34,AG1007,Madhup Kapur,Driving License,Valid,98.32,71.14,82.07,Average,No,,Approved,,47,No,0-3L
CUST100028,Devansh Sathe,23,Lucknow,Uttar Pradesh,Salary,25-06-2026,25-06-2026 05:56,25-06-2026 06:50,AG1016,Samiha Karpe,Driving License,Valid,81.73,73.79,89.32,Good,No,,Approved,,54,No,3-6L
CUST100029,Manikya Bandi,28,Kolkata,West Bengal,Salary,01-01-2026,01-01-2026 08:30,01-01-2026 09:17,AG1042,Keya Iyengar,PAN,Valid,79.12,88.71,87.1,Poor,No,,Approved,,47,No,6-10L
CUST100030,Shalv Banik,56,Chennai,Tamil Nadu,Savings,03-04-2026,03-04-2026 08:19,03-04-2026 08:46,AG1025,Ishaan Goyal,PAN,Valid,69.61,87.82,77.72,Average,No,,Rejected,Face mismatch,27,No,6-10L
CUST100031,Ranbir Sami,53,Chennai,Tamil Nadu,Salary,22-02-2026,22-02-2026 05:59,22-02-2026 06:25,AG1018,Mishti Ranganathan,Driving License,Valid,80.98,86.12,73.25,Good,No,,Approved,,26,No,0-3L
CUST100032,Lakshit Madan,47,Lucknow,Uttar Pradesh,Salary,03-03-2026,03-03-2026 00:39,03-03-2026 02:02,AG1029,Hazel Sethi,PAN,Valid,88.65,86.84,61.23,Average,Yes,Synthetic voice,Rejected,Synthetic voice,83,Yes,0-3L
CUST100033,Samaira Wadhwa,32,Lucknow,Uttar Pradesh,Salary,05-02-2026,05-02-2026 11:02,05-02-2026 11:20,AG1014,Taimur Vaidya,Aadhaar,Expired,77.15,69.73,82.8,Average,No,,Rejected,Document invalid,18,No,10L+
CUST100034,Nirvaan Srinivasan,49,Ahmedabad,Gujarat,Salary,26-03-2026,26-03-2026 13:45,26-03-2026 15:06,AG1048,Vaibhav Raju,Driving License,Valid,96.1,64.84,56.67,Good,No,,Rejected,Low audio quality,81,Yes,6-10L
CUST100035,Zara Jani,36,Ahmedabad,Gujarat,Current,19-03-2026,19-03-2026 18:14,19-03-2026 19:25,AG1040,Nishith Sharma,Driving License,Valid,74.98,66.35,93.07,Poor,No,,Approved,,71,Yes,10L+
CUST100036,Divit Bava,47,Jaipur,Rajasthan,Current,15-01-2026,15-01-2026 04:03,15-01-2026 04:27,AG1004,Aniruddh Batra,PAN,Valid,67.17,72.76,77.01,Good,No,,Rejected,Face mismatch,24,No,3-6L
CUST100037,Sumer Kakar,43,Pune,Maharashtra,Current,09-04-2026,09-04-2026 19:42,09-04-2026 20:35,AG1000,Anay Shanker,Aadhaar,Expired,64.27,76.76,95.24,Good,No,,Rejected,Document invalid,53,No,10L+
CUST100038,Anahita Venkatesh,64,Kolkata,West Bengal,Current,05-06-2026,05-06-2026 10:41,05-06-2026 13:50,AG1042,Keya Iyengar,PAN,Valid,73.77,89.83,77.31,Poor,No,,Pending,Network issue,189,Yes,6-10L
CUST100039,Pari Sachdeva,45,Delhi,Delhi,Current,03-06-2026,03-06-2026 01:13,03-06-2026 01:41,AG1016,Samiha Karpe,Aadhaar,Valid,98.94,81.31,95.35,Poor,No,,Approved,,28,No,0-3L
CUST100040,Biju Jaggi,35,Hyderabad,Telangana,Salary,24-03-2026,24-03-2026 19:18,24-03-2026 19:25,AG1022,Mehul Verma,Driving License,Valid,94.41,71.1,97.56,Good,No,,Approved,,7,No,0-3L
CUST100041,Yasmin Venkataraman,65,Mumbai,Maharashtra,Current,23-05-2026,23-05-2026 06:39,23-05-2026 06:58,AG1029,Hazel Sethi,PAN,Valid,56.39,69.87,91.96,Good,No,,Rejected,Face mismatch,19,No,3-6L
CUST100042,Nishith Char,33,Pune,Maharashtra,Savings,31-01-2026,31-01-2026 14:22,31-01-2026 15:40,AG1025,Ishaan Goyal,Passport,Valid,88.51,64.57,90.97,Average,Yes,Document tampering,Rejected,Document tampering,78,Yes,10L+
CUST100043,Heer Kapur,48,Lucknow,Uttar Pradesh,Salary,06-05-2026,06-05-2026 19:07,06-05-2026 19:17,AG1034,Zara Dugar,Aadhaar,Valid,59.57,90.82,92.51,Average,No,,Rejected,Face mismatch,10,No,6-10L
CUST100044,Aarna Chand,32,Pune,Maharashtra,Salary,13-01-2026,13-01-2026 14:21,13-01-2026 15:24,AG1027,Rati Sanghvi,Driving License,Mismatch,55.57,76.76,74.51,Average,No,,Rejected,Document invalid,63,Yes,3-6L
CUST100045,Anahi Dash,38,Ahmedabad,Gujarat,Current,25-06-2026,25-06-2026 19:37,25-06-2026 20:23,AG1005,Mehul Krishnan,Driving License,Expired,91.21,81.47,74.17,Good,No,,Rejected,Document invalid,46,No,3-6L
CUST100046,Ahana  Swamy,59,Hyderabad,Telangana,Salary,17-05-2026,17-05-2026 15:52,17-05-2026 16:30,AG1017,Uthkarsh Baral,Passport,Valid,84.93,73.42,74.72,Good,No,,Approved,,38,No,6-10L
CUST100047,Badal Sachdev,26,Chennai,Tamil Nadu,Current,12-04-2026,12-04-2026 04:19,12-04-2026 05:26,AG1001,Nirvaan Choudhury,PAN,Valid,63.56,69.63,70.32,Good,No,,Rejected,Face mismatch,67,Yes,10L+
CUST100048,Divij Shetty,50,Hyderabad,Telangana,Current,15-03-2026,15-03-2026 16:20,15-03-2026 17:07,AG1044,Divij Shroff,Passport,Valid,84.75,74.72,77.67,Good,No,,Approved,,47,No,6-10L
CUST100049,Ivan Jani,33,Chennai,Tamil Nadu,Current,15-02-2026,15-02-2026 18:53,15-02-2026 19:33,AG1006,Jhanvi Chaudhary,PAN,Valid,63.63,64.77,76.79,Good,No,,Rejected,Face mismatch,40,No,6-10L
CUST100050,Anya Chhabra,21,Hyderabad,Telangana,Salary,07-03-2026,07-03-2026 17:05,07-03-2026 17:26,AG1006,Jhanvi Chaudhary,Aadhaar,Valid,86.72,65.05,52.28,Good,No,,Rejected,Low audio quality,21,No,10L+
CUST100051,Biju Butala,61,Chennai,Tamil Nadu,Salary,27-03-2026,27-03-2026 11:51,27-03-2026 12:58,AG1036,Jiya Vora,Driving License,Valid,63.26,62.05,97.05,Good,No,,Rejected,Face mismatch,67,Yes,0-3L
CUST100052,Aarav Hayer,49,Bengaluru,Karnataka,Current,28-01-2026,28-01-2026 15:14,28-01-2026 15:47,AG1028,Mahika Ravi,Driving License,Valid,97.52,63.4,62.41,Average,No,,Approved,,33,No,10L+
CUST100053,Vardaniya Srinivasan,32,Lucknow,Uttar Pradesh,Salary,20-03-2026,20-03-2026 02:15,20-03-2026 02:30,AG1015,Lavanya Deo,PAN,Valid,57.7,98.31,54.96,Good,No,,Rejected,Face mismatch,15,No,3-6L
CUST100054,Reyansh Kakar,35,Mumbai,Maharashtra,Current,29-01-2026,29-01-2026 11:55,29-01-2026 12:58,AG1043,Madhup Biswas,Passport,Valid,85.88,78.75,51.63,Good,No,,Rejected,Low audio quality,63,Yes,0-3L
CUST100055,Indrans Chandran,57,Lucknow,Uttar Pradesh,Current,01-05-2026,01-05-2026 10:28,01-05-2026 10:54,AG1038,Vivaan Wagle,Passport,Expired,74.05,81.73,82.38,Poor,No,,Rejected,Document invalid,26,No,6-10L
CUST100056,Madhav Balakrishnan,37,Jaipur,Rajasthan,Savings,23-01-2026,23-01-2026 16:18,23-01-2026 17:18,AG1038,Vivaan Wagle,Driving License,Valid,86.35,97.61,75.02,Average,No,,Approved,,60,No,6-10L
CUST100057,Siya Dugar,62,Mumbai,Maharashtra,Current,11-02-2026,11-02-2026 17:38,11-02-2026 18:05,AG1033,Manikya Tara,Passport,Valid,80.77,97.94,99.98,Average,No,,Approved,,27,No,10L+
CUST100058,Badal Master,65,Chennai,Tamil Nadu,Current,03-02-2026,03-02-2026 02:11,03-02-2026 02:36,AG1026,Lakshay Sampath,Driving License,Valid,91.48,98.67,73.5,Good,No,,Approved,,25,No,6-10L
CUST100059,Damini Varkey,55,Chennai,Tamil Nadu,Current,01-05-2026,01-05-2026 15:44,01-05-2026 16:54,AG1042,Keya Iyengar,Passport,Valid,79.64,78.15,65.73,Average,No,,Approved,,70,Yes,0-3L
CUST100060,Bhavin Kumar,52,Kolkata,West Bengal,Savings,10-01-2026,10-01-2026 21:14,10-01-2026 21:55,AG1044,Divij Shroff,Aadhaar,Valid,82.89,79.89,72.1,Good,No,,Approved,,41,No,10L+
CUST100061,Kabir Banerjee,62,Bengaluru,Karnataka,Savings,27-06-2026,27-06-2026 05:05,27-06-2026 05:24,AG1007,Madhup Kapur,Driving License,Valid,65.72,66.32,77.54,Average,No,,Rejected,Face mismatch,19,No,10L+
CUST100062,Pari Venkataraman,53,Jaipur,Rajasthan,Salary,19-06-2026,19-06-2026 20:21,19-06-2026 21:15,AG1038,Vivaan Wagle,Driving License,Valid,86.6,76.58,74.12,Good,No,,Approved,,54,No,3-6L
CUST100063,Yuvaan Bhasin,49,Delhi,Delhi,Salary,07-06-2026,07-06-2026 07:08,07-06-2026 07:51,AG1009,Tara Swaminathan,Passport,Expired,90.39,76.56,96.71,Good,No,,Rejected,Document invalid,43,No,10L+
CUST100064,Kavya Rajan,47,Jaipur,Rajasthan,Savings,04-03-2026,04-03-2026 20:35,04-03-2026 21:29,AG1049,Eva Dass,PAN,Mismatch,79.35,78.17,66.09,Good,No,,Rejected,Document invalid,54,No,3-6L
CUST100065,Miraya Baria,54,Pune,Maharashtra,Current,16-05-2026,16-05-2026 14:40,16-05-2026 14:57,AG1006,Jhanvi Chaudhary,PAN,Valid,91.35,75.4,83.18,Average,Yes,Document tampering,Rejected,Document tampering,17,No,10L+
CUST100066,Nirvi Manne,64,Bengaluru,Karnataka,Salary,12-05-2026,12-05-2026 12:43,12-05-2026 14:11,AG1021,Trisha Dhillon,Passport,Valid,84.33,66.16,73.47,Good,No,,Approved,,88,Yes,0-3L
CUST100067,Pranay Chaudry,26,Kolkata,West Bengal,Current,23-06-2026,23-06-2026 17:22,23-06-2026 18:03,AG1047,Kimaya Balay,Aadhaar,Valid,94.76,79.47,77.05,Average,No,,Approved,,41,No,3-6L
CUST100068,Nakul Deo,48,Mumbai,Maharashtra,Savings,19-05-2026,19-05-2026 11:28,19-05-2026 12:10,AG1023,Vaibhav Dewan,Aadhaar,Valid,59.5,66.64,64.97,Average,No,,Rejected,Face mismatch,42,No,6-10L
CUST100069,Hansh Sampath,50,Hyderabad,Telangana,Salary,07-04-2026,07-04-2026 17:35,07-04-2026 18:54,AG1014,Taimur Vaidya,Driving License,Valid,90.5,66.78,53.95,Good,No,,Rejected,Low audio quality,79,Yes,3-6L
CUST100070,Amira Dugar,48,Chennai,Tamil Nadu,Salary,25-03-2026,25-03-2026 16:26,25-03-2026 17:46,AG1040,Nishith Sharma,PAN,Valid,95.27,78.56,64.38,Average,No,,Approved,,80,Yes,6-10L
CUST100071,Aayush Karnik,46,Chennai,Tamil Nadu,Current,25-03-2026,25-03-2026 05:45,25-03-2026 06:27,AG1042,Keya Iyengar,Driving License,Valid,99.77,94.05,55.33,Good,No,,Rejected,Low audio quality,42,No,0-3L
CUST100072,Devansh Luthra,61,Bengaluru,Karnataka,Savings,14-04-2026,14-04-2026 02:25,14-04-2026 02:59,AG1014,Taimur Vaidya,Driving License,Expired,88.36,61.96,80.32,Average,No,,Rejected,Document invalid,34,No,6-10L
CUST100073,Dishani Deo,58,Lucknow,Uttar Pradesh,Current,15-02-2026,15-02-2026 16:27,15-02-2026 17:11,AG1002,Sara Behl,Aadhaar,Mismatch,89.38,87.17,56.84,Average,No,,Rejected,Document invalid,44,No,10L+
CUST100074,Stuvan Wadhwa,39,Delhi,Delhi,Salary,17-01-2026,17-01-2026 11:44,17-01-2026 12:10,AG1030,Ishaan Kashyap,Passport,Valid,88.49,67.01,56.61,Good,No,,Rejected,Low audio quality,26,No,6-10L
CUST100075,Nirvaan Goyal,21,Pune,Maharashtra,Current,27-05-2026,27-05-2026 09:59,27-05-2026 10:50,AG1025,Ishaan Goyal,Driving License,Mismatch,58.37,90.09,61.28,Good,No,,Rejected,Document invalid,51,No,0-3L
CUST100076,Indranil Kanda,35,Ahmedabad,Gujarat,Salary,23-01-2026,23-01-2026 12:57,23-01-2026 13:05,AG1039,Hridaan Deo,Passport,Valid,88.56,70.46,69.05,Good,No,,Approved,,8,No,6-10L
CUST100077,Manjari Swamy,36,Mumbai,Maharashtra,Salary,26-04-2026,26-04-2026 17:53,26-04-2026 19:01,AG1006,Jhanvi Chaudhary,Aadhaar,Mismatch,86.41,85.9,55.83,Good,No,,Rejected,Document invalid,68,Yes,0-3L
CUST100078,Nitya Taneja,23,Delhi,Delhi,Salary,12-03-2026,12-03-2026 19:00,12-03-2026 20:07,AG1017,Uthkarsh Baral,PAN,Expired,97.53,87.79,77.01,Good,No,,Rejected,Document invalid,67,Yes,10L+
CUST100079,Nitara Ben,38,Pune,Maharashtra,Savings,09-02-2026,09-02-2026 14:12,09-02-2026 15:02,AG1025,Ishaan Goyal,Passport,Valid,65.58,74.47,99.05,Good,No,,Rejected,Face mismatch,50,No,0-3L
CUST100080,Prerak Bhardwaj,56,Mumbai,Maharashtra,Savings,22-06-2026,22-06-2026 20:06,22-06-2026 20:27,AG1004,Aniruddh Batra,Aadhaar,Valid,59.11,68.46,81.97,Average,No,,Rejected,Face mismatch,21,No,3-6L
CUST100081,Shanaya Malhotra,28,Lucknow,Uttar Pradesh,Salary,09-02-2026,09-02-2026 09:15,09-02-2026 09:36,AG1011,Ranbir Brahmbhatt,Aadhaar,Valid,69.72,65.89,95.03,Average,No,,Rejected,Face mismatch,21,No,6-10L
CUST100082,Purab Dhaliwal,25,Bengaluru,Karnataka,Current,24-01-2026,24-01-2026 23:53,25-01-2026 01:05,AG1047,Kimaya Balay,Passport,Valid,90.32,83.5,50.79,Good,No,,Rejected,Low audio quality,72,Yes,0-3L
CUST100083,Saanvi Garg,62,Jaipur,Rajasthan,Savings,22-05-2026,22-05-2026 15:59,22-05-2026 17:28,AG1029,Hazel Sethi,Aadhaar,Valid,59.89,80.1,97.27,Good,No,,Rejected,Face mismatch,89,Yes,6-10L
CUST100084,Piya Ravel,38,Bengaluru,Karnataka,Salary,29-03-2026,29-03-2026 06:31,29-03-2026 06:54,AG1008,Zoya Virk,Aadhaar,Expired,85.74,79.56,95.49,Good,No,,Rejected,Document invalid,23,No,0-3L
CUST100085,Dishani Konda,49,Lucknow,Uttar Pradesh,Savings,10-04-2026,10-04-2026 21:20,10-04-2026 22:48,AG1027,Rati Sanghvi,Driving License,Valid,99.56,81.17,72.69,Good,No,,Approved,,88,Yes,3-6L
CUST100086,Baiju Batra,26,Kolkata,West Bengal,Savings,03-03-2026,03-03-2026 18:34,03-03-2026 19:39,AG1005,Mehul Krishnan,Passport,Valid,73.64,63.79,71.34,Good,No,,Approved,,65,Yes,0-3L
CUST100087,Raghav Bains,24,Kolkata,West Bengal,Current,18-01-2026,18-01-2026 15:29,18-01-2026 16:59,AG1046,Vritika Sangha,Passport,Valid,91.37,82.2,79.32,Average,No,,Approved,,90,Yes,10L+
CUST100088,Shamik Solanki,35,Lucknow,Uttar Pradesh,Current,26-02-2026,26-02-2026 21:52,26-02-2026 22:11,AG1036,Jiya Vora,Aadhaar,Valid,77.73,66.17,74.11,Good,No,,Approved,,19,No,6-10L
CUST100089,Navya Deep,21,Ahmedabad,Gujarat,Savings,27-06-2026,27-06-2026 11:30,27-06-2026 12:14,AG1022,Mehul Verma,Passport,Valid,82.49,85.64,51.31,Average,No,,Rejected,Low audio quality,44,No,6-10L
CUST100090,Seher Kant,41,Delhi,Delhi,Salary,14-04-2026,14-04-2026 03:42,14-04-2026 04:07,AG1019,Kashvi Char,PAN,Valid,61.36,85.26,51.53,Good,No,,Rejected,Face mismatch,25,No,6-10L
CUST100091,Jhanvi Agrawal,38,Lucknow,Uttar Pradesh,Savings,16-01-2026,16-01-2026 13:04,16-01-2026 14:26,AG1026,Lakshay Sampath,Passport,Valid,62.05,84.65,83.7,Good,No,,Rejected,Face mismatch,82,Yes,10L+
CUST100092,Dhanuk Wagle,34,Ahmedabad,Gujarat,Current,21-01-2026,21-01-2026 18:01,21-01-2026 19:22,AG1000,Anay Shanker,Passport,Valid,67.69,87.07,74.33,Good,No,,Rejected,Face mismatch,81,Yes,0-3L
CUST100093,Inaaya  Badami,46,Hyderabad,Telangana,Salary,20-05-2026,20-05-2026 16:54,20-05-2026 17:28,AG1004,Aniruddh Batra,Driving License,Valid,67.97,64.79,74.87,Average,No,,Rejected,Face mismatch,34,No,6-10L
CUST100094,Keya Majumdar,41,Bengaluru,Karnataka,Savings,21-03-2026,21-03-2026 09:55,21-03-2026 10:14,AG1001,Nirvaan Choudhury,Driving License,Valid,58.49,72.49,71.46,Good,No,,Rejected,Face mismatch,19,No,10L+
CUST100095,Adah Bhatt,42,Lucknow,Uttar Pradesh,Savings,25-03-2026,25-03-2026 19:58,25-03-2026 20:53,AG1047,Kimaya Balay,Driving License,Valid,71.21,77.42,55.29,Average,No,,Rejected,Low audio quality,55,No,6-10L
CUST100096,Ryan Gopal,27,Pune,Maharashtra,Savings,22-05-2026,22-05-2026 20:23,22-05-2026 21:50,AG1015,Lavanya Deo,Passport,Valid,83.37,81.17,59.7,Good,No,,Rejected,Low audio quality,87,Yes,3-6L
CUST100097,Taimur Cheema,57,Chennai,Tamil Nadu,Salary,05-02-2026,05-02-2026 22:16,05-02-2026 23:35,AG1043,Madhup Biswas,Driving License,Valid,89.06,86.15,58.86,Average,No,,Rejected,Low audio quality,79,Yes,10L+
CUST100098,Nitya Behl,50,Lucknow,Uttar Pradesh,Current,28-02-2026,28-02-2026 21:58,28-02-2026 22:48,AG1019,Kashvi Char,Passport,Valid,69.16,77.55,73.45,Poor,No,,Rejected,Face mismatch,50,No,0-3L
CUST100099,Vanya Mammen,62,Bengaluru,Karnataka,Savings,11-01-2026,11-01-2026 09:21,11-01-2026 09:31,AG1036,Jiya Vora,Driving License,Valid,58.44,94.48,92.76,Average,No,,Rejected,Face mismatch,10,No,10L+
CUST100100,Miraya Shere,36,Pune,Maharashtra,Salary,21-04-2026,21-04-2026 04:19,21-04-2026 05:46,AG1002,Sara Behl,Passport,Mismatch,97.91,77.98,90.55,Good,No,,Rejected,Document invalid,87,Yes,3-6L
CUST100101,Miraan Venkatesh,42,Jaipur,Rajasthan,Savings,21-03-2026,22-03-2026 00:59,22-03-2026 01:10,AG1004,Aniruddh Batra,Driving License,Valid,62.11,74.88,64.14,Good,No,,Rejected,Face mismatch,11,No,6-10L
CUST100102,Yasmin Tak,62,Ahmedabad,Gujarat,Salary,04-05-2026,04-05-2026 12:43,04-05-2026 13:06,AG1019,Kashvi Char,PAN,Valid,87.42,86.2,95.32,Good,No,,Approved,,23,No,6-10L
CUST100103,Zain Arora,63,Kolkata,West Bengal,Current,24-01-2026,24-01-2026 12:40,24-01-2026 13:52,AG1041,Siya Master,Passport,Valid,58.8,82.3,82.17,Average,No,,Rejected,Face mismatch,72,Yes,0-3L
CUST100104,Sara Ganesan,27,Ahmedabad,Gujarat,Salary,07-03-2026,07-03-2026 20:54,07-03-2026 21:18,AG1018,Mishti Ranganathan,Driving License,Valid,63.08,68.55,97.38,Good,No,,Rejected,Face mismatch,24,No,0-3L
CUST100105,Zaina Sami,49,Ahmedabad,Gujarat,Savings,02-06-2026,02-06-2026 02:16,02-06-2026 02:44,AG1046,Vritika Sangha,PAN,Valid,56.69,73.44,88.32,Average,No,,Rejected,Face mismatch,28,No,3-6L
CUST100106,Priyansh Buch,64,Kolkata,West Bengal,Salary,08-03-2026,08-03-2026 09:05,08-03-2026 10:10,AG1023,Vaibhav Dewan,Driving License,Valid,98.44,84.36,87.62,Average,No,,Approved,,65,Yes,3-6L
CUST100107,Vaibhav Viswanathan,51,Jaipur,Rajasthan,Current,26-03-2026,26-03-2026 02:45,26-03-2026 03:22,AG1041,Siya Master,PAN,Valid,72.11,81.05,98.31,Good,No,,Approved,,37,No,0-3L
CUST100108,Anaya Choudhry,35,Ahmedabad,Gujarat,Current,20-06-2026,20-06-2026 02:13,20-06-2026 02:36,AG1005,Mehul Krishnan,PAN,Valid,78.11,64.97,54.19,Average,No,,Rejected,Low audio quality,23,No,10L+
CUST100109,Amira Gill,29,Pune,Maharashtra,Savings,19-06-2026,19-06-2026 09:21,19-06-2026 10:49,AG1009,Tara Swaminathan,Aadhaar,Valid,72.76,74.92,69.31,Good,Yes,Deepfake suspicion,Rejected,Deepfake suspicion,88,Yes,6-10L
